Vehiculo,Rastra,Nombre Geocerca,Fecha Entrada,Fecha Salida,Dif. Tiempo
VC40,V22,La Guama - Lago de Yojoa,2021-02-01 05:15:45,2021-02-01 06:54:21,01:38:36
VC40,V22,La Guama - Lago de Yojoa,2021-02-01 22:17:50,2021-02-02 03:32:26,05:14:36
VC40,V22,Lago de Yojoa - Pito Solo,2021-02-01 06:54:35,2021-02-01 06:57:11,00:02:36
VC40,V22,Lago de Yojoa - Pito Solo,2021-02-01 22:15:04,2021-02-01 22:17:50,00:02:46
VC40,V22,Pito Solo - Jardines Taulabe,2021-02-01 06:57:11,2021-02-01 07:23:31,00:26:20
VC40,V22,Pito Solo - Jardines Taulabe,2021-02-01 22:02:49,2021-02-01 22:15:04,00:12:15
VC40,V22,Jardines - Siguatepeque,2021-02-01 07:23:31,2021-02-01 08:02:23,00:38:52
VC40,V22,Jardines - Siguatepeque,2021-02-01 20:33:40,2021-02-01 22:02:48,01:29:08
VC40,V22,Siguatepeque - Cuesta La Virgen,2021-02-01 08:02:22,2021-02-01 08:14:26,00:12:04
VC40,V22,Siguatepeque - Cuesta La Virgen,2021-02-01 20:23:57,2021-02-01 20:33:40,00:09:43
VC40,V22,Cuesta La Virgen - Comayagua,2021-02-01 08:14:26,2021-02-01 08:50:16,00:35:50
VC40,V22,Cuesta La Virgen - Comayagua,2021-02-01 19:45:54,2021-02-01 20:23:58,00:38:04
VC40,V22,"Comayagua - Las Flores, Comayagua",2021-02-01 08:50:16,2021-02-01 09:23:11,00:32:55
VC40,V22,"Comayagua - Las Flores, Comayagua",2021-02-01 18:59:42,2021-02-01 19:45:54,00:46:12
VC40,V22,"Flores, Comayagua, Cuesta el Rodeo",2021-02-01 09:23:11,2021-02-01 09:38:14,00:15:03
VC40,V22,"Flores, Comayagua, Cuesta el Rodeo",2021-02-01 18:56:55,2021-02-01 18:59:42,00:02:47
VC40,V22,Cuesta el Rodeo-Zambrano,2021-02-01 09:38:15,2021-02-01 10:20:05,00:41:50
VC40,V22,Cuesta el Rodeo-Zambrano,2021-02-01 18:03:40,2021-02-01 18:56:56,00:53:16
VC40,V22,Tamara-Durazno,2021-02-01 10:41:35,2021-02-01 10:59:14,00:17:39
VC40,V22,Tamara-Durazno,2021-02-01 17:04:07,2021-02-01 17:42:18,00:38:11
VC40,V22,Cervecería SA. Tegucigalpa,2021-02-01 11:03:15,2021-02-01 17:02:27,05:59:12
VC40,V22,Zambrano-Tamara,2021-02-01 10:20:05,2021-02-01 10:41:36,00:21:31
VC40,V22,Zambrano-Tamara,2021-02-01 17:42:18,2021-02-01 18:03:40,00:21:22
VC40,V22,Durazno-FFAA-Salida a Tegus,2021-02-01 10:59:14,2021-02-01 11:20:38,00:21:24
VC40,V22,Durazno-FFAA-Salida a Tegus,2021-02-01 16:39:17,2021-02-01 17:04:07,00:24:50
VC40,V22,Bulevar Fuerzar Armadas - CD La Granja,2021-02-01 11:20:50,2021-02-01 11:21:13,00:00:23
VC40,V22,Bulevar Fuerzar Armadas - CD La Granja,2021-02-01 16:37:47,2021-02-01 16:39:17,00:01:30
VC40,V22,Peaje Siguatepeque,2021-02-01 08:12:58,2021-02-01 08:15:04,00:02:06
VC40,V22,Peaje Siguatepeque,2021-02-01 20:22:26,2021-02-01 20:24:53,00:02:27
VC40,V22,Peaje Zambrano,2021-02-01 10:06:00,2021-02-01 10:08:46,00:02:46
VC40,V22,Peaje Zambrano,2021-02-01 18:15:23,2021-02-01 18:22:02,00:06:39
VC40,V22,"Area de Espera, Ingreso a CDLG",2021-02-01 11:21:13,2021-02-01 11:22:21,00:01:08
VC40,V22,"Area de Espera, Ingreso a CDLG",2021-02-01 16:38:00,2021-02-01 16:38:50,00:00:50
VC40,V22,CD La Granja,2021-02-01 11:21:26,2021-02-01 16:38:00,05:16:34
VC40,V22,Recta de Yojoa,2021-02-02 03:54:22,2021-02-02 04:10:30,00:16:08
VC40,V22,Recta de Yojoa,2021-02-02 18:58:36,2021-02-02 19:12:52,00:14:16
VC40,V22,Toyota-Villanueva,2021-02-02 04:50:00,2021-02-02 05:17:04,00:27:04
VC40,V22,Toyota-Villanueva,2021-02-02 17:14:44,2021-02-02 18:14:40,00:59:56
VC40,V22,Villanueva Centro,2021-02-02 04:43:05,2021-02-02 04:50:00,00:06:55
VC40,V22,Villanueva Centro,2021-02-02 18:14:39,2021-02-02 18:23:28,00:08:49
VC40,V22,Las Flores - La Guama,2021-02-02 03:32:26,2021-02-02 03:48:00,00:15:34
VC40,V22,Las Flores - La Guama,2021-02-02 19:27:19,2021-02-02 19:49:27,00:22:08
VC40,V22,La Guama - Lago de Yojoa,2021-02-02 19:49:27,2021-02-02 19:59:04,00:09:37
VC40,V22,Lago de Yojoa - Pito Solo,2021-02-02 19:59:04,2021-02-02 20:03:49,00:04:45
VC40,V22,Pito Solo - Jardines Taulabe,2021-02-02 20:03:49,2021-02-02 20:19:36,00:15:47
VC40,V22,Jardines - Siguatepeque,2021-02-02 20:19:36,2021-02-02 21:14:49,00:55:13
VC40,V22,Siguatepeque - Cuesta La Virgen,2021-02-02 21:14:49,2021-02-02 21:24:15,00:09:26
VC40,V22,Cuesta La Virgen - Comayagua,2021-02-02 21:24:15,2021-02-02 22:02:30,00:38:15
VC40,V22,"Comayagua - Las Flores, Comayagua",2021-02-02 22:02:29,2021-02-02 22:32:14,00:29:45
VC40,V22,"Flores, Comayagua, Cuesta el Rodeo",2021-02-02 22:32:14,2021-02-02 22:36:45,00:04:31
VC40,V22,Cuesta el Rodeo-Zambrano,2021-02-02 22:36:45,2021-02-02 23:32:24,00:55:39
VC40,V22,Área de carga planta de cerveza 40,2021-02-02 16:21:00,2021-02-02 16:51:24,00:30:24
VC40,V22,Predio de Loginhsa,2021-02-02 07:46:53,2021-02-02 14:14:58,06:28:05
VC40,V22,Viveros CHSA área de ingreso,2021-02-02 05:32:40,2021-02-02 07:46:35,02:13:55
VC40,V22,Viveros CHSA área de ingreso,2021-02-02 08:16:50,2021-02-02 08:18:38,00:01:48
VC40,V22,Área de viveros de Refresco,2021-02-02 05:32:52,2021-02-02 07:46:33,02:13:41
VC40,V22,Área de viveros de Refresco,2021-02-02 08:16:50,2021-02-02 08:18:37,00:01:47
VC40,V22,P40 Area de espera,2021-02-02 05:32:29,2021-02-02 05:32:31,00:00:02
VC40,V22,Area de viveros de Cerveza,2021-02-02 14:56:54,2021-02-02 14:58:21,00:01:27
VC40,V22,SPS-Peaje La Lima,2021-02-02 05:25:09,2021-02-02 05:25:18,00:00:09
VC40,V22,CHSA-Toyota,2021-02-02 05:20:03,2021-02-02 05:28:59,00:08:56
VC40,V22,CHSA-Toyota,2021-02-02 16:57:32,2021-02-02 17:02:07,00:04:35
VC40,V22,CHSA-Toyota,2021-02-02 17:04:17,2021-02-02 17:06:43,00:02:26
VC40,V22,Area de espera Loginhsa-cerveza,2021-02-02 13:23:40,2021-02-02 14:57:11,01:33:31
VC40,V22,Planta General Cerveza,2021-02-02 14:58:43,2021-02-02 16:21:47,01:23:04
VC40,V22,Viveros,2021-02-02 05:32:40,2021-02-02 14:58:20,09:25:40
VC40,V22,Zambrano-Tamara,2021-02-02 23:32:24,2021-02-03 00:02:16,00:29:52
VC40,V22,Peaje Siguatepeque,2021-02-02 21:22:53,2021-02-02 21:24:48,00:01:55
VC40,V22,Peaje Zambrano,2021-02-02 23:18:05,2021-02-02 23:20:23,00:02:18
VC40,V22,Ingreso a predio,2021-02-02 05:30:23,2021-02-02 05:32:40,00:02:17
VC40,V22,Ingreso a predio,2021-02-02 16:50:34,2021-02-02 16:51:24,00:00:50
VC40,V22,"Fila de Salida, Porton #8",2021-02-02 16:21:46,2021-02-02 16:38:03,00:16:17
VC40,V22,20 calle -Toyota,2021-02-02 05:17:03,2021-02-02 05:20:04,00:03:01
VC40,V22,20 calle -Toyota,2021-02-02 17:06:43,2021-02-02 17:14:44,00:08:01
VC40,V22,Recta de Yojoa,2021-02-03 10:02:36,2021-02-03 10:47:00,00:44:24
VC40,V22,Recta de Yojoa,2021-02-03 22:28:19,2021-02-03 22:49:57,00:21:38
